Customer ID,Recency,Frequency,Monetary,Tenure,PurchaseRate,IntervalMean,SinglePurchase,RecencyRatio,churn,Cluster,Cluster_name
12349.0,115,3,1244.37,280,0.010714285714285714,82.0,0,1.4024390243902438,0,2,Обычные
12355.0,112,1,488.21000000000004,112,0.008928571428571428,112.0,1,1.0,1,0,Новые
12358.0,95,2,1697.93,276,0.007246376811594203,181.0,0,0.5248618784530387,0,2,Обычные
12359.0,80,7,1918.03,279,0.025089605734767026,32.666666666666664,0,2.4489795918367347,0,1,Лояльные
12360.0,108,4,740.04,200,0.02,30.333333333333332,0,3.5604395604395607,0,2,Обычные
12361.0,7,3,321.35,227,0.013215859030837005,109.5,0,0.0639269406392694,1,0,Новые
12362.0,283,1,130.0,283,0.0035335689045936395,283.0,1,1.0,1,3,Группа риска
12366.0,178,1,500.24,178,0.0056179775280898875,178.0,1,1.0,1,3,Группа риска
12368.0,173,1,917.6999999999999,173,0.005780346820809248,173.0,1,1.0,1,3,Группа риска
12369.0,186,1,348.32,186,0.005376344086021506,186.0,1,1.0,0,3,Группа риска
12370.0,169,3,774.62,213,0.014084507042253521,22.0,0,7.681818181818182,1,3,Группа риска
12371.0,190,2,607.6800000000001,190,0.010526315789473684,0.0,0,190.0,0,3,Группа риска
12373.0,169,2,763.0500000000001,218,0.009174311926605505,49.0,0,3.4489795918367347,1,3,Группа риска
12374.0,133,1,1388.54,133,0.007518796992481203,133.0,1,1.0,0,0,Новые
12377.0,134,1,1210.96,134,0.007462686567164179,134.0,1,1.0,0,0,Новые
12378.0,107,1,1407.7,107,0.009345794392523364,107.0,1,1.0,1,0,Новые
12379.0,79,1,367.48,79,0.012658227848101266,79.0,1,1.0,0,0,Новые
12388.0,127,1,461.62,127,0.007874015748031496,127.0,1,1.0,0,0,Новые
12389.0,112,2,563.03,200,0.01,88.0,0,1.2727272727272727,0,0,Новые
12391.0,9,6,2286.93,207,0.028985507246376812,39.6,0,0.22727272727272727,1,1,Лояльные
12392.0,136,1,234.75000000000003,136,0.007352941176470588,136.0,1,1.0,1,0,Новые
12395.0,39,2,1376.82,147,0.013605442176870748,108.0,0,0.3611111111111111,0,2,Обычные
12396.0,219,1,931.43,219,0.0045662100456621,219.0,1,1.0,1,3,Группа риска
12399.0,64,2,539.45,189,0.010582010582010581,125.0,0,0.512,0,0,Новые
12402.0,66,4,712.5,215,0.018604651162790697,49.0,0,1.346938775510204,0,2,Обычные
12403.0,66,1,591.6600000000001,66,0.015151515151515152,66.0,1,1.0,1,0,Новые
12404.0,227,1,63.24,227,0.004405286343612335,227.0,1,1.0,1,3,Группа риска
12406.0,141,2,1629.2,242,0.008264462809917356,101.0,0,1.396039603960396,0,2,Обычные
12408.0,43,1,194.1,43,0.023255813953488372,43.0,1,1.0,0,0,Новые
12410.0,47,1,320.38,47,0.02127659574468085,47.0,1,1.0,1,0,Новые
12412.0,24,4,1160.8899999999999,84,0.047619047619047616,19.333333333333332,0,1.2413793103448276,0,2,Обычные
12414.0,8,5,130.0,8,0.625,0.0,0,8.0,1,0,Новые
12415.0,42,3,2717.98,72,0.041666666666666664,14.5,0,2.896551724137931,0,2,Обычные
12416.0,201,1,202.56,201,0.004975124378109453,201.0,1,1.0,1,3,Группа риска
12417.0,51,10,1968.35,278,0.03597122302158273,24.666666666666668,0,2.0675675675675675,0,1,Лояльные
12418.0,121,3,875.0600000000001,175,0.017142857142857144,26.5,0,4.566037735849057,0,0,Новые
12421.0,45,2,72.8,50,0.04,5.0,0,9.0,0,0,Новые
12423.0,10,1,298.8,10,0.1,10.0,1,1.0,0,0,Новые
12424.0,93,4,396.29,277,0.01444043321299639,61.0,0,1.5245901639344261,0,0,Новые
12426.0,191,2,728.6800000000001,207,0.00966183574879227,16.0,0,11.9375,1,3,Группа риска
12429.0,91,2,1407.3600000000001,91,0.02197802197802198,0.0,0,91.0,0,2,Обычные
12431.0,8,13,3594.02,238,0.0546218487394958,18.916666666666668,0,0.4229074889867841,0,1,Лояльные
12435.0,22,3,3575.2,282,0.010638297872340425,130.0,0,0.16923076923076924,0,1,Лояльные
